observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	prec	r	rdt	sept	ps
2833558-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA				41,2		
2833558-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA	92					
2833558-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA		142				
2833558-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA						75
2833558-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA					4	
2833552-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA			111,9			
2833552-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA				44,6		
2833552-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA	85					
2833552-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA		143				
2833552-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA						73,8
2833552-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA					4	
